,Return,Std Dev,Symbol(Name)
261220,5.79,41.93,261220 (KODEX WTI원유선물(H))
204450,-7.99,46.3,204450 (KODEX 차이나H레버리지(H))
228810,-1.3,28.77,228810 (TIGER 미디어컨텐츠)
469150,73.12,38.5,469150 (ACE AI반도체포커스)
236350,26.04,32.31,236350 (TIGER 인도니프티50레버리지(합성))
136340,2.93,1.36,136340 (RISE 중기우량회사채)
174360,6.44,20.82,174360 (RISE 중국본토대형주CSI100)
487230,-24.05,54.59,487230 (KODEX 미국AI전력핵심인프라)
139280,4.42,16.25,139280 (TIGER 경기방어)
225040,23.83,33.7,225040 (TIGER 미국S&P500레버리지(합성 H))
465610,140.06,53.71,465610 (ACE 미국빅테크TOP7 Plus레버리지(합성))
441800,31.75,18.15,441800 (TIMEFOLIO Korea플러스배당액티브)
483420,17.76,44.8,483420 (ACE 애플밸류체인액티브)
429000,10.63,13.55,429000 (TIGER 미국S&P500배당귀족)
464920,45.19,30.83,464920 (PLUS 일본반도체소부장)
464310,23.06,24.26,464310 (TIGER 글로벌AI&로보틱스 INDXX)
261240,4.51,13.17,261240 (KODEX 미국달러선물)
486240,-48.53,47.7,486240 (DAISHIN343 AI반도체&인프라액티브)
300640,3.16,29.26,300640 (RISE 게임테마)
423170,39.11,26.94,423170 (SOL 한국형글로벌반도체액티브)
308620,3.0,9.58,308620 (KODEX 미국10년국채선물)
473490,106.75,40.31,473490 (KOSEF 글로벌AI반도체)
203780,12.09,26.76,203780 (TIGER 미국나스닥바이오)
469580,14.08,7.55,469580 (RISE KP달러채권액티브)
315960,17.31,23.08,315960 (RISE 대형고배당10TR)
458750,18.19,10.59,458750 (TIGER 미국배당+3%프리미엄다우존스)
152380,2.8,5.48,152380 (KODEX 국채선물10년)
233160,15.94,53.85,233160 (TIGER 코스닥150 레버리지)
440640,3.81,0.34,440640 (ACE 단기채권알파액티브)
266160,10.42,17.68,266160 (RISE 고배당)
414270,-5.82,26.02,414270 (ACE G2전기차&자율주행액티브)
295020,1.25,6.25,295020 (RISE 국채선물10년인버스)
483290,24.91,13.45,483290 (KODEX 미국배당+10%프리미엄다우존스)
280930,7.19,24.52,280930 (KODEX 미국러셀2000(H))
455960,6.96,8.58,455960 (RISE 미국달러SOFR금리액티브(합성))
403790,3.1,17.09,403790 (마이다스 코스피액티브)
108450,9.2,19.79,108450 (ACE 삼성그룹섹터가중)
397410,3.62,4.5,397410 (RISE 국채선물5년추종인버스)
411420,9.39,27.54,411420 (KODEX 미국메타버스나스닥액티브)
400570,11.51,41.88,400570 (KODEX 유럽탄소배출권선물ICE(H))
448490,8.34,8.47,448490 (HANARO 32-10 국고채액티브)
099140,0.97,20.56,099140 (KODEX 차이나H)
483330,8.87,31.29,483330 (ACE 마이크로소프트밸류체인액티브)
441540,23.6,30.48,441540 (HANARO Fn조선해운)
448330,9.81,7.87,448330 (KODEX 삼성전자채권혼합)
475380,16.73,14.98,475380 (RISE 글로벌리얼티인컴)
218420,8.01,27.67,218420 (KODEX 미국S&P500에너지(합성))
245360,4.21,25.31,245360 (TIGER 차이나HSCEI)
385510,24.12,29.4,385510 (KODEX K-신재생에너지액티브)
399110,17.24,15.61,399110 (SOL 미국S&P500ESG)
454320,31.78,30.87,454320 (HANARO CAPEX설비투자iSelect)
447620,15.45,9.03,447620 (SOL 미국TOP5채권혼합40 Solactive)
319640,10.89,15.78,319640 (TIGER 골드선물(H))
434730,29.96,30.19,434730 (HANARO 원자력iSelect)
476760,18.08,13.53,476760 (ACE 미국30년국채액티브)
438100,11.56,8.9,438100 (ACE 미국나스닥100채권혼합액티브)
395160,8.01,27.92,395160 (KODEX 시스템반도체)
322400,1.78,21.88,322400 (HANARO e커머스)
329670,11.75,11.08,329670 (KODEX TRF7030)
458030,3.97,0.24,458030 (WOORI 단기국공채액티브)
123320,10.84,34.2,123320 (TIGER 레버리지)
261270,-2.01,8.11,261270 (KODEX 미국달러선물인버스)
479620,24.65,49.92,479620 (SOL 미국AI반도체칩메이커)
426150,5.39,6.78,426150 (WOORI 대한민국국고채액티브)
227540,4.74,28.65,227540 (TIGER 200 헬스케어)
329660,8.64,8.67,329660 (KODEX TRF5050)
122260,2.41,1.33,122260 (KOSEF 통안채1년)
332500,12.54,20.18,332500 (ACE 200TR)
483340,-25.96,37.16,483340 (ACE 구글밸류체인액티브)
453820,68.59,45.9,453820 (KODEX 인도Nifty50레버리지(합성))
465330,-36.73,52.93,465330 (RISE 2차전지TOP10)
407830,0.92,28.95,407830 (에셋플러스 글로벌플랫폼액티브)
298770,18.41,17.88,298770 (KODEX 한국대만IT프리미어)
304780,14.4,39.62,304780 (HANARO 200선물레버리지)
276970,4.7,14.19,276970 (KODEX 미국S&P500배당귀족커버드콜(합성 H))
469170,-33.85,46.93,469170 (ACE 포스코그룹포커스)
272910,1.9,2.48,272910 (ACE 중장기국공채액티브)
248270,12.93,14.05,248270 (TIGER S&P글로벌헬스케어(합성))
266360,4.22,24.91,266360 (KODEX 미디어&엔터테인먼트)
195930,7.41,19.57,195930 (TIGER 유로스탁스50(합성 H))
464470,11.31,15.04,464470 (PLUS 미국채30년액티브)
469070,-19.13,33.61,469070 (RISE AI&로봇)
469060,84.37,35.34,469060 (RISE 미국반도체NYSE)
123310,-3.8,17.65,123310 (TIGER 인버스)
102970,5.21,27.88,102970 (KODEX 증권)
371450,2.25,26.9,371450 (TIGER 글로벌클라우드컴퓨팅INDXX)
367760,9.64,25.83,367760 (RISE 5G테크)
336160,2.03,2.02,336160 (RISE 금융채액티브)
261250,6.21,16.44,261250 (KODEX 미국달러선물레버리지)
453330,27.36,12.45,453330 (RISE 미국S&P500(H))
251600,4.82,7.32,251600 (PLUS 고배당주채권혼합)
469160,32.89,28.28,469160 (ACE 일본반도체)
368190,-5.4,24.43,368190 (HANARO Fn K-뉴딜디지털플러스)
395170,-3.95,21.41,395170 (KODEX Top10동일가중)
138230,2.97,8.3,138230 (KOSEF 미국달러선물)
332620,0.16,13.46,332620 (PLUS 미국장기우량회사채)
434960,11.54,18.24,434960 (DAISHIN343 K200)
114100,2.92,1.8,114100 (RISE 국고채3년)
337160,11.71,20.95,337160 (KODEX 200ESG)
365000,-22.45,29.58,365000 (TIGER 인터넷TOP10)
463300,-10.8,14.73,463300 (RISE 중국본토CSI300)
332610,4.42,9.27,332610 (PLUS 미국단기회사채(AAA~A))
388280,-14.5,19.9,388280 (RISE 컨택트대표)
237350,10.57,21.69,237350 (KODEX 코스피100)
250730,-1.48,23.4,250730 (RISE 차이나HSCEI(H))
385720,1.14,18.33,385720 (TIMEFOLIO 코스피액티브)
475280,3.9,0.53,475280 (ACE 8월만기자동연장회사채AA-이상액티브)
371470,-13.63,28.8,371470 (TIGER 차이나바이오테크SOLACTIVE)
453650,34.09,15.51,453650 (KODEX 미국S&P500금융)
256440,2.25,19.73,256440 (ACE 인도네시아MSCI(합성))
440340,8.02,8.84,440340 (TIGER 글로벌멀티에셋TIF액티브)
475070,62.89,33.62,475070 (KoAct 글로벌기후테크인프라액티브)
474800,25.42,17.43,474800 (KOSEF 미국원유에너지기업)
469050,79.77,37.74,469050 (RISE 미국반도체NYSE(H))
485690,-33.79,71.21,485690 (RISE 미국AI밸류체인TOP3Plus)
271050,-11.87,43.95,271050 (KODEX WTI원유선물인버스(H))
117700,1.1,28.47,117700 (KODEX 건설)
471040,47.34,27.5,471040 (KoAct 글로벌AI&로봇액티브)
461600,-0.93,15.56,461600 (SOL 미국30년국채액티브(H))
394350,3.85,25.35,394350 (KOSEF 글로벌퓨처모빌리티)
456680,-53.39,46.79,456680 (TIGER 차이나전기차레버리지(합성))
279530,6.06,14.79,279530 (KODEX 고배당)
101280,8.24,15.85,101280 (KODEX 일본TOPIX100)
287180,24.09,25.54,287180 (PLUS 미국나스닥테크)
445150,21.2,27.03,445150 (KODEX K-친환경선박액티브)
160580,3.72,19.97,160580 (TIGER 구리실물)
359210,8.92,17.36,359210 (KODEX 코스피TR)
472830,12.03,9.79,472830 (RISE 미국30년국채커버드콜(합성))
152870,6.24,16.4,152870 (파워 200)
269420,8.42,15.84,269420 (KODEX S&P글로벌인프라(합성))
453950,50.07,28.35,453950 (TIGER TSMC밸류체인FACTSET)
138520,6.56,18.89,138520 (TIGER 삼성그룹펀더멘털)
385590,-3.01,18.75,385590 (ACE ESG액티브)
468380,18.71,7.26,468380 (KODEX iShares미국하이일드액티브)
243880,30.49,44.28,243880 (TIGER 200IT레버리지)
354350,16.61,19.18,354350 (HANARO 글로벌럭셔리S&P(합성))
460960,16.09,7.93,460960 (ACE 글로벌인컴TOP10 SOLACTIVE)
238720,14.16,20.37,238720 (ACE 일본Nikkei225(H))
261070,12.5,34.77,261070 (TIGER 코스닥150바이오테크)
195920,10.28,19.04,195920 (TIGER 일본TOPIX(합성 H))
276990,9.76,18.14,276990 (KODEX 글로벌로봇(합성))
438320,-13.9,70.43,438320 (TIGER 차이나항셍테크레버리지(합성 H))
271060,-0.77,21.08,271060 (KODEX 3대농산물선물(H))
326230,-0.97,18.14,326230 (RISE 내수주플러스)
352560,11.11,21.15,352560 (KODEX 미국부동산리츠(H))
