,Return,Std Dev,Symbol(Name)
MDGL.O,60.81,109.6,MDGL.O (매드리갈 파마슈티컬스)
NOVT.O,34.05,35.7,NOVT.O (노밴타)
CACC.O,26.69,38.92,CACC.O (크레디트 억셉턴스)
VRNS.O,28.36,50.42,VRNS.O (바로니스 시스템즈)
NXST.O,41.56,42.96,NXST.O (넥스타 미디어 그룹)
VERX.O,30.52,56.68,VERX.O (버텍스)
PEGA.O,20.67,42.53,PEGA.O (페가시스템즈)
MASI.O,17.96,33.93,MASI.O (마시모)
BCPC.O,19.74,30.47,BCPC.O (발켐)
KRYS.O,99.29,80.36,KRYS.O (크리스탈 바이오텍)
RRR.O,28.98,51.53,RRR.O (레드 락 리조트)
BECN.O,20.19,38.05,BECN.O (비컨 루핑 서플라이)
COOP.O,35.04,54.6,COOP.O (미스터쿠퍼 그룹)
EXLS.O,15.52,36.49,EXLS.O (엑슬서비스 홀딩스)
SRCL.O,3.73,29.63,SRCL.O (스테리사이클)
OPCH.O,23.36,60.75,OPCH.O (옵션 케어 헬스)
STEP.O,27.16,39.42,STEP.O (스텝스톤 그룹)
SIGI.O,17.27,26.43,SIGI.O (셀렉티브 인슈어런스 그룹)
SATS.O,8.1,35.59,SATS.O (에코스타)
LANC.O,13.16,24.79,LANC.O (랭커스터 콜로니)
GLBE.O,42.27,75.68,GLBE.O (글로벌-E 온라인)
EXPO.O,24.42,28.15,EXPO.O (엑스포넌트)
NWS.O,9.64,28.99,NWS.O (뉴스 코퍼레이션 Class B)
XRAY.O,2.58,27.35,XRAY.O (덴츠플라이 시로나)
CRVL.O,28.63,32.36,CRVL.O (코벨)
ALGM.O,19.34,46.89,ALGM.O (알레그로 마이크로시스템즈)
MARA.O,174.28,171.94,MARA.O (마라톤 디지털 홀딩스)
FFIN.O,16.29,30.93,FFIN.O (퍼스트 파이낸셜 뱅크셰어스)
NVMI.O,39.92,38.49,NVMI.O (노바 메저링 인스트루먼츠)
COLB.O,9.29,34.99,COLB.O (컬럼비아 뱅킹 시스템)
ASTS.O,99.38,111.09,ASTS.O (AST 스페이스모바일)
DJT.O,555.79,252.65,DJT.O (트럼프 미디어 & 테크놀로지 그룹)
MMSI.O,22.42,36.41,MMSI.O (메리트 메디컬 시스템즈)
QLYS.O,32.74,42.56,QLYS.O (퀄리스)
DOOO.O,19.61,42.38,DOOO.O (BRP)
FCFS.O,17.48,31.35,FCFS.O (퍼스트캐쉬 홀딩스)
TMDX.O,84.99,73.5,TMDX.O (트랜스메딕스 그룹)
ESGR.O,15.89,27.88,ESGR.O (엔스타 그룹)
TENB.O,19.54,49.92,TENB.O (테너블 홀딩스)
VRRM.O,23.86,36.3,VRRM.O (베라 모빌리티)
BBIO.O,55.98,92.31,BBIO.O (브릿지바이오 파머)
UBSI.O,7.66,31.08,UBSI.O (유나이티드 뱅크셰어스(Nasdaq GS))
QXO.O,-100.0,343.2,QXO.O (QXO)
OZK.O,18.77,35.15,OZK.O (뱅크 오즈크)
BWIN.O,40.04,53.54,BWIN.O (볼드윈 인슈어런스 그룹)
FRHC.O,372.08,179.89,FRHC.O (프리덤 홀딩)
CSWI.O,35.6,29.47,CSWI.O (CSW 인더스트리얼스)
NUVL.O,120.59,85.02,NUVL.O (뉴베일런트)
AVAV.O,26.68,44.32,AVAV.O (에어로바이런먼트)
ITRI.O,12.22,40.19,ITRI.O (아이트론)
RMBS.O,18.5,44.88,RMBS.O (램버스)
ACIW.O,21.13,33.22,ACIW.O (ACI 월드와이드)
LSXMK.O,1.31,31.97,LSXMK.O (리버티 미디어 시리우스 XM 시리즈 C)
NVEI.O,-18.46,72.29,NVEI.O (뉴베이)
AVT.O,9.82,29.6,AVT.O (에이브이넷)
FIZZ.O,25.05,39.34,FIZZ.O (내셔널 베버리지)
