,Return,Std Dev,Symbol(Name)
CTVA.K,19.99,35.05,CTVA.K (코르테바)
STT,10.3,31.32,STT (스테이트 스트리트)
TECH.O,10.08,33.8,TECH.O (바이오-테크네)
NSC,14.35,26.72,NSC (노퍽서던)
EXPE.O,25.46,41.65,EXPE.O (익스피디아그룹)
EA.O,23.28,31.82,EA.O (일렉트로닉 아츠)
IT,27.77,27.85,IT (가트너)
MTCH.O,22.55,47.84,MTCH.O (매치 그룹)
TYL,33.49,28.71,TYL (타일러 테크놀로지스)
MLM,19.36,30.58,MLM (마틴 마리에타 머터리얼스)
GPN,17.58,30.14,GPN (글로벌 페이먼츠)
KR,15.82,26.05,KR (크로거)
D,3.54,20.91,D (도미니언 에너지)
APA.O,33.51,54.44,APA.O (APA (US))
MRO,15.39,47.51,MRO (마라톤 오일)
WAT,15.35,26.75,WAT (워터스)
GLW,10.54,29.51,GLW (코닝)
PPG,13.78,25.41,PPG (PPG 인더스트리스)
ALGN.O,35.59,45.89,ALGN.O (얼라인 테크놀로지)
AEP.O,3.57,20.25,AEP.O (아메리칸 일렉트릭 파워 컴퍼니)
AXON.O,26.87,42.45,AXON.O (액손 엔터프라이스)
KHC.O,-5.04,27.51,KHC.O (크래프트 하인즈)
AAL.O,5.03,49.86,AAL.O (아메리칸 에어라인스 그룹)
ULTA.O,31.17,37.96,ULTA.O (울타 뷰티)
STLD.O,25.25,37.69,STLD.O (스틸 다이내믹스)
HIG,16.52,31.55,HIG (하트포드 파이낸셜 서비스 그룹)
AFL,13.55,26.02,AFL (애플랙)
FITB.O,13.97,34.57,FITB.O (피프스 서드 뱅코프)
MOH,31.55,39.29,MOH (몰리나 헬스케어)
LUV,12.67,33.12,LUV (사우스웨스트 에어라인스)
BBY,15.36,39.19,BBY (베스트 바이)
PTC.O,25.38,33.01,PTC.O (PTC)
CHRW.O,6.47,25.11,CHRW.O (CH 로빈슨 월드와이드)
MTB,8.46,29.87,MTB (M&T 뱅크)
ZBH,8.3,25.7,ZBH (짐머 바이오멧 홀딩스)
HAS.O,7.17,30.03,HAS.O (해즈브로)
KEY,11.22,36.81,KEY (키코프)
XYL,18.43,26.28,XYL (자일럼)
VRSK.O,19.92,21.91,VRSK.O (베리스크 애널리틱스)
IRM,15.92,27.94,IRM (아이언 마운틴)
CFG,12.34,37.57,CFG (시티즌스 파이낸셜 그룹)
MKC,16.26,36.46,MKC (맥코믹 앤 컴퍼니 무의결권주)
DD,3.07,33.27,DD (듀폰)
