,Return,Std Dev,Symbol(Name)
EIX,9.72,23.9,EIX (에디슨 인터내셔널)
MRNA.O,69.96,73.3,MRNA.O (모더나)
CNP,7.8,24.57,CNP (센터포인트 에너지)
FIS,11.59,26.91,FIS (피델리티 내셔널 인포메이션 서비스)
YUM,14.74,23.68,YUM (염 브랜즈)
SRE,7.21,25.32,SRE (셈프라 에너지)
CNC,28.84,35.8,CNC (센틴)
DPZ,34.31,29.31,DPZ (도미노 피자)
PHM,30.27,39.23,PHM (풀티 그룹)
ECL,15.12,23.57,ECL (이콜랩)
DECK.K,34.66,42.41,DECK.K (덱커 아웃도어)
BDX,11.31,20.44,BDX (벡톤 디킨슨 앤 코)
JCI,13.96,25.36,JCI (존슨 컨트롤스 인터내셔널)
HST.O,18.45,36.22,HST.O (호스트 호텔스 & 리조트)
BX,27.09,34.77,BX (블랙스톤)
EQT,13.46,44.04,EQT (EQT)
HWM,68.89,39.98,HWM (하우멧 에어로스페이스)
WYNN.O,10.55,45.51,WYNN.O (윈 리조트)
RSG,16.25,18.78,RSG (리퍼블릭 서비스)
MRO,14.88,47.35,MRO (마라톤 오일)
KHC.O,-4.0,27.44,KHC.O (크래프트 하인즈)
ES,8.91,21.53,ES (에버소스 에너지)
DLTR.O,16.68,30.49,DLTR.O (달러 트리)
PCG,7.0,50.2,PCG (퍼시픽 가스 & 일렉트릭)
COF,14.54,33.47,COF (캐피털 원 파이낸셜)
DG,14.69,26.96,DG (달러 제너럴)
PSA,11.76,22.0,PSA (퍼블릭 스토리지)
CMI,15.06,28.55,CMI (커민스)
ALB,13.53,39.65,ALB (앨버말)
NVR,24.8,28.96,NVR (NVR)
NEM,4.62,35.17,NEM (뉴몬트)
FSLR.O,18.83,53.19,FSLR.O (퍼스트 솔라)
ALL,16.3,23.14,ALL (올스테이트)
IDXX.O,26.24,28.77,IDXX.O (아이덱스 래보라토리스)
ROST.O,23.04,29.15,ROST.O (로스 스토어스)
NCLH.K,12.53,55.84,NCLH.K (노르웨이지안 크루즈 라인 홀딩스)
NSC,15.17,26.83,NSC (노퍽서던)
SYY,10.62,26.4,SYY (시스코)
LW,14.16,33.89,LW (램 웨스턴 홀딩스)
EBAY.O,19.45,29.84,EBAY.O (이베이)
PEG,8.68,20.78,PEG (퍼블릭 서비스 엔터프라이즈)
HSIC.O,11.81,24.23,HSIC.O (헨리 셰인)
AFL,14.47,26.02,AFL (애플랙)
TSCO.O,26.65,28.79,TSCO.O (트랙터 서플라이)
CBOE.K,18.25,24.61,CBOE.K (Cboe 글로벌 마켓)
ALGN.O,34.25,45.87,ALGN.O (얼라인 테크놀로지)
ROK,17.11,29.93,ROK (로크웰 오토메이션)
WEC,11.08,20.24,WEC (WEC 에너지 그룹)
BLDR.K,71.45,45.06,BLDR.K (빌더스 퍼스트소스)
D,4.31,20.95,D (도미니언 에너지)
HBAN.O,12.0,32.98,HBAN.O (헌팅턴 뱅크셰어스)
NTAP.O,14.64,33.28,NTAP.O (넷앱)
ROP.O,19.99,22.48,ROP.O (로퍼 테크놀로지스)
MGM,21.0,44.13,MGM (MGM 리조트 인터내셔널)
SBAC.O,17.16,25.19,SBAC.O (SBA 커뮤니케이션스)
CZR.O,38.77,84.84,CZR.O (시저스 엔터테인먼트)
CLX,8.26,21.34,CLX (크로락스)
TEL,17.05,26.09,TEL (TE 커넥티비티)
VLTO.K,34.19,27.5,VLTO.K (베랄토)
ITW,15.81,22.93,ITW (일리노이 툴 웍스)
CTAS.O,31.22,24.68,CTAS.O (신타스)
EPAM.K,36.24,43.89,EPAM.K (이팸 시스템즈)
HUBB.K,20.92,26.11,HUBB.K (허벨)
ETSY.O,27.17,59.45,ETSY.O (엣시)
KR,16.33,26.0,KR (크로거)
TFX,14.46,26.17,TFX (텔레플렉스)
BG,8.66,28.78,BG (번지 글로벌)
IFF,9.45,26.69,IFF (인터내셔널 플레이버스 & 프레그런스)
ED,7.76,19.04,ED (콘솔리데이티드 에디슨)
HAL,10.26,42.49,HAL (할리버튼)
CARR.K,43.3,33.07,CARR.K (캐리어 글로벌)
GWW,21.42,26.63,GWW (W W 그레인저)
PAYX.O,14.42,22.34,PAYX.O (페이첵스)
KDP.O,7.58,18.93,KDP.O (큐리그 닥터 페퍼)
AWK,17.0,21.4,AWK (아메리칸 워터 웍스)
CTRA.K,12.89,76.34,CTRA.K (코테라 에너지)
CHD,16.14,19.79,CHD (처치 & 드와이트)
PARA.O,-22.44,57.57,PARA.O (파라마운트 글로벌 Class B)
CPRT.O,19.89,31.48,CPRT.O (코파트)
WAB,20.67,30.03,WAB (웨스팅하우스 에어 브레이크 테크놀로지)
LDOS.K,14.82,26.78,LDOS.K (레이도스 홀딩스)
SOLV.K,-25.4,37.18,SOLV.K (솔벤텀)
BAX,6.04,23.31,BAX (박스터 인터내셔널)
J,14.07,27.51,J (제이콥스 솔루션스)
TER.O,27.89,37.76,TER.O (테라다인)
